sequence_identifier,Kingdom,Phylum,Class,Order,Family,Genus,
Otu287,Unclassified,,,,,,
Otu288,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,,
Otu289,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu290,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group,
Otu291,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,,
Otu292,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu293,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu294,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,,
Otu295,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,
Otu296,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu297,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu298,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Alsobacter,
Otu299,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,uncultured,
Otu300,Bacteria,Actinobacteriota,Actinobacteria,PeM15,,,
Otu301,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,
Otu302,Unclassified,,,,,,
Otu303,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
Otu304,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,,
Otu305,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Fimbriiglobus,
Otu306,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,
Otu307,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu308,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
Otu309,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
Otu310,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu311,Unclassified,,,,,,
Otu312,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,
Otu313,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
Otu314,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,uncultured,
Otu315,Unclassified,,,,,,
Otu316,Bacteria,Firmicutes,Clostridia,,,,
Otu317,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,,
Otu318,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu319,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,
Otu320,Unclassified,,,,,,
Otu321,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosporobacter,
Otu322,Bacteria,Actinobacteriota,Acidimicrobiia,,,,
Otu323,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu324,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu325,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,
Otu326,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081 sediment group,
Otu327,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,,
Otu328,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,
Otu329,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,uncultured,
Otu330,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,
Otu331,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmataceae,Candidatus Bacilloplasma,
Otu332,Unclassified,,,,,,
Otu333,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,
Otu334,Unclassified,,,,,,
Otu335,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,
Otu336,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
Otu337,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,
Otu338,Unclassified,,,,,,
Otu339,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu340,Bacteria,NB1-j,,,,,
Otu341,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,,
Otu342,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,
Otu343,Unclassified,,,,,,
Otu344,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,,
Otu345,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,
Otu346,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,
Otu347,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,
Otu348,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,
Otu349,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu350,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Ruminiclostridium,,
Otu351,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Moheibacter,
Otu352,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,uncultured,
Otu353,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,
Otu354,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu355,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu356,Unclassified,,,,,,
Otu357,Bacteria,Actinobacteriota,Actinobacteria,,,,
Otu358,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Friedmanniella,
Otu359,Unclassified,,,,,,
Otu360,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Berkiella,
Otu361,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Otu362,Unclassified,,,,,,
Otu363,Unclassified,,,,,,
Otu364,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu365,Unclassified,,,,,,
Otu366,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu367,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,,,
Otu368,Unclassified,,,,,,
Otu369,Unclassified,,,,,,
Otu370,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,
Otu371,Bacteria,Verrucomicrobiota,Verrucomicrobiae,uncultured,,,
Otu372,Bacteria,MBNT15,,,,,
Otu373,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Nitratireductor,
Otu374,Unclassified,,,,,,
Otu375,Unclassified,,,,,,
Otu376,Unclassified,,,,,,
Otu377,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,
Otu378,Unclassified,,,,,,
Otu379,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,,
Otu380,Bacteria,Actinobacteriota,Actinobacteria,PeM15,,,
Otu381,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,,,
Otu382,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,
Otu383,Unclassified,,,,,,
Otu384,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu385,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,,
Otu386,Bacteria,,,,,,
Otu387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Nordella,
Otu388,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,
Otu389,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
Otu390,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,
Otu391,Unclassified,,,,,,
Otu392,Bacteria,Actinobacteriota,MB-A2-108,,,,
Otu393,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,,
Otu394,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Sedimentibacteraceae,Sedimentibacter,
Otu395,Unclassified,,,,,,
Otu396,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu397,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,
Otu398,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
Otu399,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,
Otu400,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,,
Otu401,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,
Otu402,Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa
Otu403,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,
Otu404,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,
Otu405,Unclassified,,,,,,
Otu406,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
Otu407,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu408,Unclassified,,,,,,
Otu409,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,uncultured,
Otu410,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,
Otu411,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,
Otu412,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,
Otu413,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Otu414,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,,,
Otu415,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
Otu416,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,
Otu417,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
Otu418,Unclassified,,,,,,
Otu419,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Rurimicrobium,
Otu420,Unclassified,,,,,,
Otu421,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia,
Otu422,Bacteria,NB1-j,,,,,
Otu423,Eukaryota,Amorphea,Obazoa,Opisthokonta,Holozoa,Choanozoa,Metazoa
Otu424,Unclassified,,,,,,
Otu425,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Flectobacillus,
Otu426,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,,
Otu427,Unclassified,,,,,,
Otu428,Unclassified,,,,,,
Otu429,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,
Otu430,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,,
Otu431,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,,
Otu432,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,
Otu433,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu434,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,uncultured,,
Otu435,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerococcus,,
Otu436,Unclassified,,,,,,
Otu437,Bacteria,Firmicutes,Clostridia,Oscillospirales,,,
Otu438,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu439,Unclassified,,,,,,
Otu440,Unclassified,,,,,,
Otu441,Unclassified,,,,,,
Otu442,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Otu443,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu444,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Membranicola,
Otu445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,,,
Otu446,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Limibaculum,
Otu447,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,
Otu448,Bacteria,Nitrospinota,P9X2b3D02,,,,
Otu449,Unclassified,,,,,,
Otu450,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,
Otu451,Unclassified,,,,,,
Otu452,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu453,Unclassified,,,,,,
Otu454,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,
Otu455,Unclassified,,,,,,
Otu456,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,TC1,,
Otu457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,
Otu458,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,
Otu459,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu460,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu461,Bacteria,Actinobacteriota,Actinobacteria,Nitriliruptorales,Nitriliruptoraceae,,
Otu462,Unclassified,,,,,,
Otu463,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,
Otu464,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,
Otu465,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,
Otu466,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,
Otu467,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,uncultured,
Otu468,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
Otu469,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,B1-7BS,,
Otu470,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,
Otu471,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,
Otu472,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
Otu473,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
Otu474,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,T34,,
Otu475,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,,,
Otu476,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,
Otu477,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,
Otu478,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,
Otu479,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
Otu480,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu481,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
Otu482,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,,
Otu483,Unclassified,,,,,,
Otu484,Unclassified,,,,,,
Otu485,Unclassified,,,,,,
Otu486,Unclassified,,,,,,
Otu487,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,,
Otu488,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
Otu489,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,C39,
Otu490,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,,,
Otu491,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,
Otu492,Unclassified,,,,,,
Otu493,Unclassified,,,,,,
Otu494,Unclassified,,,,,,
Otu495,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu496,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu497,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu498,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Thiobacillus,
Otu499,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,
Otu500,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,
Otu501,Unclassified,,,,,,
Otu502,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,
Otu503,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,
Otu504,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,
Otu505,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,
Otu506,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,
Otu507,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu508,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,,
Otu509,Unclassified,,,,,,
Otu510,Unclassified,,,,,,
Otu511,Unclassified,,,,,,
Otu512,Unclassified,,,,,,
Otu513,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides,
Otu514,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,,
Otu515,Unclassified,,,,,,
Otu516,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,
Otu517,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,
Otu518,Bacteria,Chloroflexi,KD4-96,,,,
Otu519,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,Desulfobaccaceae,Desulfobacca,
Otu520,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,,,
Otu521,Unclassified,,,,,,
Otu522,Unclassified,,,,,,
Otu523,Unclassified,,,,,,
Otu524,Unclassified,,,,,,
Otu525,Bacteria,Chloroflexi,KD4-96,,,,
Otu526,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,
Otu527,Unclassified,,,,,,
Otu528,Unclassified,,,,,,
Otu529,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,,
Otu530,Bacteria,Firmicutes,Clostridia,,,,
Otu531,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,
Otu532,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,
Otu533,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,
Otu534,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,
Otu535,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,
Otu536,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,,
Otu537,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu538,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu539,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,,
Otu540,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,,
Otu541,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
Otu542,Bacteria,Chloroflexi,SL56 marine group,,,,
Otu543,Unclassified,,,,,,
Otu544,Unclassified,,,,,,
Otu545,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Shuttleworthia,
Otu546,Unclassified,,,,,,
Otu547,Bacteria,NB1-j,,,,,
Otu548,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu549,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu550,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Hafniaceae,Hafnia-Obesumbacterium,
Otu551,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Cellulosilyticum,
Otu552,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,,,
Otu553,Unclassified,,,,,,
Otu554,Unclassified,,,,,,
Otu555,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu556,Unclassified,,,,,,
Otu557,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
Otu558,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter,
Otu559,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,
Otu560,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,,
Otu561,Unclassified,,,,,,
Otu562,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,
Otu563,Unclassified,,,,,,
Otu564,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu565,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,Desulfobaccaceae,Desulfobacca,
Otu566,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,,,
Otu567,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
Otu568,Unclassified,,,,,,
Otu569,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,
Otu570,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,
Otu571,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu572,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Fermentimonas,
Otu573,Unclassified,,,,,,
Otu574,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Otu575,Unclassified,,,,,,
Otu576,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,,
Otu577,Unclassified,,,,,,
Otu578,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu579,Unclassified,,,,,,
Otu580,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
Otu581,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,
Otu582,Unclassified,,,,,,
Otu583,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101 soil group,,
Otu584,Unclassified,,,,,,
Otu585,Unclassified,,,,,,
Otu586,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,,
Otu587,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,
Otu588,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu589,Unclassified,,,,,,
Otu590,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Otu591,Bacteria,Actinobacteriota,Actinobacteria,PeM15,,,
Otu592,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu593,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,uncultured,
Otu594,Unclassified,,,,,,
Otu595,Bacteria,Acidobacteriota,Acidobacteriae,,,,
Otu596,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chitinibacteraceae,,
Otu597,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,
Otu598,Unclassified,,,,,,
Otu599,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,uncultured,
Otu600,Bacteria,Chloroflexi,Anaerolineae,SBR1031,,,
Otu601,Unclassified,,,,,,
Otu602,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 13,
Otu603,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,uncultured,
Otu604,Unclassified,,,,,,
Otu605,Unclassified,,,,,,
Otu606,Unclassified,,,,,,
Otu607,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudorhodoplanes,
Otu608,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,
Otu609,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,,,
Otu610,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,,
Otu611,Unclassified,,,,,,
Otu612,Unclassified,,,,,,
Otu613,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu614,Unclassified,,,,,,
Otu615,Unclassified,,,,,,
Otu616,Unclassified,,,,,,
Otu617,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,
Otu618,Unclassified,,,,,,
Otu619,Unclassified,,,,,,
Otu620,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,
